,ilce,m2,isitma,site,kat,oda,yas,banyosayisi,esyali,price
0,arnavutkoy,80,Kombi Doğalgaz,Hayır,Yüksek giriş,2+1,0.0,1,Boş,
1,arnavutkoy,185,Kombi Doğalgaz,Hayır,5,4+2,0.0,2,Boş,375000.0
2,arnavutkoy,114,Merkezi Doğalgaz,Hayır,2,2+1,0.0,2,Belirtilmemiş,475000.0
3,arnavutkoy,85,Kombi Doğalgaz,Hayır,Kot 1,2+1,0.0,1,Belirtilmemiş,265000.0
4,arnavutkoy,129,Kombi Doğalgaz,Hayır,2,2+1,0.0,2,Belirtilmemiş,390000.0
5,arnavutkoy,146,Kombi Doğalgaz,Hayır,5,3+1,0.0,2,Belirtilmemiş,475000.0
6,arnavutkoy,100,Kombi Doğalgaz,Hayır,5,2+1,0.0,1,Belirtilmemiş,320000.0
7,arnavutkoy,115,Kombi Doğalgaz,Hayır,8,2+1,3.0,2,Boş,330000.0
8,arnavutkoy,95,Kombi Doğalgaz,Hayır,1,2+1,1.0,2,Boş,265000.0
9,arnavutkoy,110,Kombi Doğalgaz,Hayır,Bahçe katı,2+1,0.0,2,Boş,138000.0
10,arnavutkoy,90,Kombi Doğalgaz,Hayır,Yüksek giriş,2+1,0.0,1,Belirtilmemiş,
11,arnavutkoy,170,Kombi Doğalgaz,Hayır,5,3+2,7.5,2,Belirtilmemiş,285000.0
12,arnavutkoy,370,Kombi Doğalgaz,Hayır,Düz giriş,5+4,2.0,4,Eşyalı,4800000.0
13,arnavutkoy,210,Kombi Doğalgaz,Hayır,3,4+2,0.0,2,Boş,440000.0
14,arnavutkoy,400,Kombi Doğalgaz,Hayır,Düz giriş,6+2,4.0,3,Boş,1600000.0
15,arnavutkoy,110,Kombi Doğalgaz,Hayır,Düz giriş,2+1,0.0,1,Belirtilmemiş,275000.0
16,arnavutkoy,100,Kombi Doğalgaz,Hayır,3,2+1,7.5,1,Boş,265000.0
17,arnavutkoy,90,Merkezi (Pay Ölçer),Hayır,3,2+1,7.5,1,Boş,270000.0
18,arnavutkoy,105,Kombi Doğalgaz,Hayır,1,2+1,0.0,2,Boş,260000.0
19,arnavutkoy,200,Kombi Doğalgaz,Hayır,4,5+2,0.0,2,Boş,369000.0
20,arnavutkoy,90,Kombi Doğalgaz,Hayır,Bahçe katı,2+1,0.0,1,Boş,143000.0
21,arnavutkoy,195,Kombi Doğalgaz,Hayır,5,2+1,4.0,2,Boş,530000.0
22,arnavutkoy,185,Kombi Doğalgaz,Hayır,5,3+2,3.0,2,Boş,325000.0
23,arnavutkoy,107,Kombi Doğalgaz,Hayır,2,2+1,2.0,2,Boş,269000.0
24,arnavutkoy,135,Kombi Doğalgaz,Hayır,Düz giriş,3+1,0.0,2,Boş,220000.0
25,arnavutkoy,260,Kombi Doğalgaz,Hayır,4,4+2,1.0,2,Belirtilmemiş,500000.0
26,arnavutkoy,129,Merkezi Doğalgaz,Hayır,Müstakil,2+1,15.5,1,Boş,425000.0
27,arnavutkoy,105,Kombi Doğalgaz,Hayır,Yüksek giriş,2+1,0.0,1,Boş,255000.0
28,arnavutkoy,200,Kombi Doğalgaz,Hayır,4,4+2,0.0,3,Boş,350000.0
29,arnavutkoy,105,Kombi Doğalgaz,Hayır,2,2+1,3.0,1,Boş,265000.0
30,arnavutkoy,100,Kombi Doğalgaz,Hayır,2,2+1,0.0,1,Boş,340000.0
31,arnavutkoy,140,Kombi Doğalgaz,Hayır,2,2+1,0.0,2,Boş,390000.0
32,arnavutkoy,185,Kombi Doğalgaz,Hayır,4,4+1,0.0,2,Boş,375000.0
33,arnavutkoy,185,Kombi Doğalgaz,Hayır,4,5+1,0.0,2,Boş,410000.0
34,arnavutkoy,155,Kombi Doğalgaz,Hayır,5,3+1,0.0,2,Boş,475000.0
35,arnavutkoy,121,Kombi Doğalgaz,Hayır,Bahçe katı,3+1,0.0,1,Boş,220000.0
36,arnavutkoy,110,Kombi Doğalgaz,Hayır,4,2+1,0.0,1,Boş,375000.0
37,arnavutkoy,110,Merkezi (Pay Ölçer),Hayır,4,2+1,0.0,1,Boş,375000.0
38,arnavutkoy,115,Kombi Doğalgaz,Hayır,2,2+1,0.0,1,Boş,380000.0
39,arnavutkoy,85,Kombi Doğalgaz,Hayır,2,2+1,1.0,2,Boş,400000.0
40,arnavutkoy,95,Kombi Doğalgaz,Hayır,Bahçe katı,2+1,0.0,2,Boş,200000.0
41,arnavutkoy,156,Kombi Doğalgaz,Hayır,6,3+1,0.0,2,Boş,852000.0
42,arnavutkoy,125,Kombi Doğalgaz,Hayır,3,1+1,0.0,1,Boş,285000.0
43,arnavutkoy,105,Kombi Doğalgaz,Hayır,1,2+1,0.0,1,Boş,245000.0
44,arnavutkoy,84,Kombi Doğalgaz,Hayır,4,2+1,0.0,1,Boş,457000.0
45,arnavutkoy,95,Kombi Doğalgaz,Hayır,2,2+1,0.0,1,Boş,275000.0
46,arnavutkoy,135,Kombi Doğalgaz,Hayır,2,3+1,7.5,2,Belirtilmemiş,240000.0
47,arnavutkoy,120,Kombi Doğalgaz,Hayır,2,3+1,0.0,2,Boş,295000.0
48,arnavutkoy,100,Kombi Doğalgaz,Hayır,Yüksek giriş,2+1,0.0,1,Boş,190000.0
49,arnavutkoy,75,Kombi Doğalgaz,Hayır,Düz giriş,1+1,0.0,1,Boş,270000.0
50,arnavutkoy,120,Kombi Doğalgaz,Hayır,3,2+1,0.0,1,Boş,270000.0
51,arnavutkoy,280,Merkezi (Pay Ölçer),Hayır,Düz giriş,4+2,15.5,3,Boş,1750000.0
52,arnavutkoy,75,Kombi Doğalgaz,Hayır,3,2+1,0.0,1,Boş,268000.0
53,arnavutkoy,111,Kombi Doğalgaz,Hayır,4,3+1,3.0,2,Boş,570000.0
54,arnavutkoy,231,Kombi Doğalgaz,Hayır,5,5+2,3.0,2,Boş,750000.0
55,arnavutkoy,130,Kombi Doğalgaz,Hayır,1,2+1,7.5,1,Boş,300000.0
56,arnavutkoy,85,Kombi Doğalgaz,Hayır,Yüksek giriş,1+1,0.0,1,Boş,160000.0
57,arnavutkoy,160,Kombi Doğalgaz,Hayır,4,3+1,1.0,2,Boş,425000.0
58,arnavutkoy,120,Kombi Doğalgaz,Hayır,Bahçe katı,3+1,0.0,1,Boş,235000.0
59,arnavutkoy,115,Kombi Doğalgaz,Hayır,8,2+1,0.0,2,Boş,330000.0
0,atasehir,160,Kombi Doğalgaz,Hayır,3,2+1,7.5,2.0,Boş,434000.0
1,atasehir,130,Kombi Doğalgaz,Hayır,8,3+1,0.0,2.0,Boş,975000.0
2,atasehir,110,Kombi Doğalgaz,Hayır,11,3+1,0.0,1.0,Boş,455000.0
3,atasehir,135,Kombi Doğalgaz,Hayır,2,3+1,4.0,1.0,Boş,769000.0
4,atasehir,89,Kombi Doğalgaz,Hayır,2,2+1,7.5,1.0,Boş,393000.0
5,atasehir,150,Kombi Doğalgaz,Hayır,3,2+2,4.0,2.0,Boş,
6,atasehir,85,Kombi Doğalgaz,Hayır,1,2+1,7.5,1.0,Boş,317000.0
7,atasehir,140,Kombi Doğalgaz,Hayır,1,3+1,15.5,1.0,Boş,465000.0
8,atasehir,130,Kombi Doğalgaz,Hayır,1,3+1,20.0,1.0,Boş,535000.0
9,atasehir,75,Kombi Doğalgaz,Hayır,3,2+1,1.0,1.0,Boş,520000.0
10,atasehir,130,Kombi Doğalgaz,Hayır,1,3+1,7.5,1.0,Boş,695000.0
